ID,ShopliftingPrev,ShopliftingFreq,SeriousTheftPrev,SeriousTheftFreq,CrimDamagePrev,CrimDamageFreq,ViolentCrimePrev,ViolentCrimeFreq,TotalCrimePrev,TotalCrimeFreq,PoorSelfControl,PeerCrime,MoralEmotions,Deterrence,NeighInforSocControl,AlcoholPrev,AlcoholFreq,ArrestedPrev,ArrestedFreq,Sex,Ethnicity,NeighbourhoodSD,FamilySD
117,0,0,0,0,0,0,0,0,0,0,8,0,2.534098081,2.945850246,16,0,0,0,0,1,3,0.349327778,1.621748065
118,1,2,0,0,0,0,0,0,1,2,13,8,-1.115380249,-1.255010514,8,1,3,0,0,1,1,1.676111474,1.621748065
119,0,0,0,0,1,3,1,1,1,5,15,5,-1.460008005,-1.219255215,8,1,15,0,0,0,1,-1.036483826,-1.373688575
120,1,1,0,0,1,4,1,6,1,13,17,6,-0.770752493,-2.899599519,7,1,6,1,1,0,1,1.695148076,0.379012453
121,1,18,1,11,1,24,1,2,1,53,12,10,-3.660261817,-2.497391093,14,1,31,1,4,0,1,-0.960767264,-1.165206549
122,0,0,0,0,1,2,0,0,1,2,10,3,-1.460008005,0.09463596,8,1,20,1,1,0,2,-1.554810466,-0.606837157
123,0,0,0,0,0,0,0,0,0,0,9,2,-1.044666755,-3.301807946,4,1,5,0,0,0,1,1.648539285,1.238322356
124,0,0,0,0,1,2,0,0,1,3,16,4,0.572401785,-1.692974239,10,1,8,1,1,0,1,-0.476221434,0.631548509
125,0,0,0,0,0,0,0,0,0,0,0,0,2.534098081,2.141433392,12,0,0,0,0,0,2,-1.432359172,-1.485362405
126,0,0,0,0,0,0,1,3,1,3,19,3,0.263130776,0.023125363,8,1,6,0,0,0,3,0.636048217,1.621748065
127,1,5,0,0,1,6,0,0,1,11,11,15,-3.660261817,-3.811282268,7,1,25,0,0,1,1,-0.68605628,-0.766915204
128,0,0,0,0,0,0,0,0,1,1,11,7,-1.080023502,0.058880662,9,1,19,0,0,1,1,-1.401656794,-1.101936696
129,0,0,0,0,0,0,0,0,0,0,16,8,0.952386288,-1.255010514,10,1,26,0,0,1,1,1.218173517,0.043990722
130,0,0,0,0,0,0,1,1,1,1,8,6,-0.046140234,-2.899599519,1,1,3,0,0,1,1,1.061499626,0.631548509
131,1,1,0,0,0,0,0,0,1,1,11,7,0.466331544,-0.012629935,8,1,52,1,1,1,2,2.001843826,1.621748065
132,0,0,0,0,0,0,0,0,0,0,8,4,1.500214813,0.496844387,11,1,1,0,0,1,1,-0.176003059,-1.373688575
133,0,0,0,0,0,0,1,3,1,3,13,9,-1.389294511,-0.343327765,13,1,30,1,1,0,1,1.382764514,0.475820408
134,0,0,0,0,0,0,0,0,0,0,8,1,1.844842569,0.023125363,12,1,1,0,0,1,1,-1.075938431,-1.626224988
135,0,0,0,0,0,0,0,0,0,0,13,5,1.500214813,2.105678094,11,0,0,0,0,1,3,0.197800572,0.204068769
136,0,0,0,0,0,0,0,0,0,0,12,3,1.155587057,1.739224966,13,0,0,0,0,1,3,0.349327778,1.621748065
137,0,0,1,104,1,40,1,110,1,246,19,11,-2.732448789,-2.095182666,4,1,100,1,2,0,1,1.462413633,0.427416431
138,1,1,0,0,0,0,1,1,1,2,7,4,0.952386288,0.863297515,11,1,20,0,0,1,1,-0.017388691,-0.655241373
139,0,0,0,0,1,1,0,0,1,1,18,4,-0.426124737,-1.692974239,8,1,20,0,0,0,1,0.157327343,1.238322356
140,0,0,0,0,0,0,0,0,0,0,4,4,-1.663208774,2.543641819,10,1,7,0,0,1,1,-0.914032631,0.267338622
141,0,0,0,0,0,0,0,0,0,0,5,2,1.606285054,0.899052814,10,1,10,0,0,1,1,-0.219135073,1.126648525
142,0,0,0,0,0,0,1,2,1,2,11,5,1.53557156,2.543641819,4,1,20,0,0,1,1,-0.188575486,0.3157426
143,1,22,0,0,1,2,1,4,1,28,13,4,-2.078550024,-0.343327765,13,1,52,1,1,0,1,0.206231305,-0.208545573
144,1,5,1,10,1,15,1,11,1,48,9,12,-1.044666755,1.739224966,14,1,20,0,0,0,1,-0.238659235,0.3157426
145,0,0,1,21,1,30,1,40,1,95,14,17,-4.349517329,-4.508433227,3,1,150,1,4,0,1,0.731365969,1.126648525
146,0,0,0,0,0,0,0,0,0,0,15,6,-2.078550024,0.42533379,8,1,10,0,0,0,4,1.581714008,1.349996187
147,0,0,0,0,0,0,1,5,1,5,14,14,0.121703788,-4.1062248,4,1,50,0,0,1,1,-0.470042865,0.204068769
148,0,0,1,2,0,0,1,2,1,2,12,13,1.22630055,-1.987916771,3,1,10,1,1,1,1,0.797329786,-0.320219642
149,0,0,0,0,0,0,0,0,0,0,10,4,-1.733922268,-1.183499917,14,1,3,0,0,0,1,-0.794672257,0.155664552
150,0,0,0,0,0,0,1,1,1,1,15,8,-4.278803836,0.058880662,11,1,4,0,0,1,1,1.572118218,0.810842139
151,1,3,1,1,0,0,1,4,1,8,8,10,-1.733922268,-2.461635794,7,1,1,1,1,0,2,-0.299653638,-0.17935694
152,0,0,0,0,0,0,0,0,0,0,18,7,2.534098081,0.09463596,5,1,50,1,2,0,1,-0.243722922,-0.208545573
153,0,0,0,0,0,0,0,0,0,0,6,3,0.881672794,0.09463596,11,1,3,0,0,0,1,0.048752941,-0.543567304
154,0,0,0,0,0,0,0,0,0,0,10,1,1.190943803,-0.343327765,11,0,0,0,0,1,1,0.018172352,0.3157426
155,1,1,0,0,1,2,1,2,1,5,14,4,-2.42317778,-1.183499917,6,0,0,0,0,0,1,0.335458486,-2.024516453
156,0,0,0,0,0,0,0,0,0,0,5,3,0.263130776,-2.095182666,13,1,6,0,0,0,1,0.191516129,0.0923947
157,0,0,0,0,0,0,0,0,0,0,14,12,-3.006363052,-5.017907548,2,1,30,0,0,0,1,-0.401587538,0.854896647
158,0,0,0,0,0,0,0,0,0,0,4,2,1.570928307,0.863297515,13,1,2,0,0,1,1,-1.204277457,0.379012453
159,0,0,0,0,0,0,1,3,1,3,16,1,1.155587057,0.023125363,2,0,0,0,0,0,1,-0.240033864,-1.708710186
160,0,0,0,0,0,0,0,0,0,0,12,3,0.537045038,-0.745536192,12,0,0,0,0,1,1,-1.317908877,-1.820384136
161,0,0,0,0,0,0,0,0,0,0,8,4,1.844842569,1.337016539,12,1,3,0,0,1,1,-1.174278753,0.3157426
162,0,0,0,0,0,0,0,0,0,0,15,4,0.8109593,-0.343327765,11,1,52,0,0,0,1,1.709279695,0.92251597
163,0,0,0,0,0,0,0,0,0,0,10,2,0.846316047,-0.343327765,7,1,12,0,0,0,1,1.210343785,0.043990722
164,0,0,0,0,0,0,0,0,1,1,12,2,-2.352464286,0.058880662,8,1,8,0,0,1,1,-0.770239839,-0.926993013
165,0,0,0,0,0,0,0,0,0,0,6,3,2.534098081,0.496844387,11,0,0,0,0,0,1,0.197800572,0.204068769
166,0,0,0,0,0,0,0,0,0,0,10,3,-1.733922268,1.337016539,13,1,2,0,0,0,1,0.361995251,0.267338622
167,1,2,1,1,0,0,1,1,1,4,9,5,-0.152210474,-1.219255215,13,1,20,0,0,1,1,-0.598822815,0.539090261
168,0,0,0,0,0,0,0,0,0,0,9,2,2.534098081,2.069922796,15,0,0,0,0,1,3,-0.454596166,0.3157426
169,0,0,0,0,1,2,1,2,1,4,14,6,1.500214813,1.739224966,13,1,52,0,0,1,1,-0.141405588,-1.354472991
170,0,0,1,8,1,1,1,3,1,12,22,18,-3.660261817,-2.023672069,7,1,260,1,2,1,1,0.191516129,0.631548509
171,0,0,0,0,0,0,0,0,0,0,0,4,1.22630055,-2.095182666,12,0,0,0,0,0,1,-1.528420254,-0.495163326
172,0,0,0,0,1,2,1,1,1,3,10,9,-1.389294511,-2.497391093,9,1,20,0,0,0,1,0.258692037,0.446631776
173,0,0,0,0,0,0,0,0,0,0,7,0,2.534098081,0.934808112,12,0,0,0,0,1,1,-0.741276311,-0.451108818
174,0,0,0,0,0,0,0,0,0,0,0,2,2.534098081,0.42533379,8,0,0,0,0,1,3,-0.561118961,-1.262014744
175,0,0,0,0,0,0,0,0,0,0,10,4,0.192417282,-2.059427367,12,1,20,0,0,0,1,-0.608834542,-0.383489495
176,0,0,0,0,0,0,0,0,0,0,9,1,1.155587057,0.827542217,7,1,7,0,0,1,1,-0.996141921,-1.262014744
177,1,1,0,0,0,0,0,0,1,1,3,8,2.224827072,2.945850246,12,1,26,0,0,1,1,-1.048383848,-1.801168672
178,0,0,0,0,0,0,1,2,1,2,15,6,0.537045038,-4.285001291,11,1,15,0,0,1,1,-1.204277457,-0.878589035
179,1,1,0,0,1,4,0,0,1,5,16,5,-2.043193277,-0.78129149,10,1,26,0,0,1,1,-1.567723617,0.427416431
180,0,0,0,0,0,0,0,0,0,0,17,3,-3.006363052,-0.307572467,11,1,20,1,1,1,1,0.976093286,0.267338622
181,0,0,0,0,0,0,0,0,0,0,10,0,0.607758532,0.899052814,7,0,0,0,0,0,1,0.767304215,0.874111754
182,0,0,0,0,1,2,1,4,1,6,9,8,0.227774029,-2.497391093,5,0,0,1,1,0,3,0.215825093,1.126648525
183,0,0,0,0,1,1,0,0,1,1,15,5,0.263130776,0.09463596,5,1,5,0,0,1,1,-0.387378713,0.155664552
184,0,0,0,0,1,1,1,5,1,6,13,7,0.192417282,-0.343327765,9,1,80,1,3,0,1,-0.243722922,1.126648525
185,0,0,0,0,0,0,0,0,0,0,0,3,1.880199316,0.827542217,14,1,54,0,0,0,1,-1.247387264,0.043990722
186,1,1,0,0,0,0,0,0,1,1,11,7,-1.804635761,-4.98215225,6,1,3,0,0,0,1,1.210343785,1.034189801
187,0,0,0,0,0,0,0,0,0,0,6,0,1.22630055,0.461089088,10,0,0,0,0,0,1,-0.903731097,-1.849572769
188,0,0,0,0,0,0,0,0,0,0,10,7,-1.972479783,0.899052814,7,0,0,0,0,0,3,0.701741148,1.621748065
189,0,0,0,0,0,0,0,0,0,0,13,5,0.227774029,0.899052814,11,1,4,0,0,0,1,-0.408080106,-1.597036236
190,0,0,0,0,0,0,0,0,0,0,10,8,0.537045038,-0.817046789,8,1,3,0,0,0,1,-1.601418599,-1.373688575
191,0,0,1,1,1,1,1,1,1,2,11,8,-0.461481484,2.543641819,10,1,25,0,0,0,1,-0.476221434,-0.718510988
192,0,0,0,0,0,0,0,0,0,0,10,2,1.844842569,1.265505942,12,1,2,0,0,1,1,0.822197382,-2.024516453
193,0,0,0,0,0,0,0,0,0,0,12,1,1.500214813,0.934808112,16,1,10,0,0,0,1,-0.97524152,-1.9612466
194,1,4,0,0,1,2,0,0,1,6,18,12,-0.770752493,0.899052814,11,1,50,0,0,1,1,-1.539833127,-0.941858649
195,0,0,0,0,0,0,1,1,1,1,12,7,-1.389294511,-1.183499917,7,1,3,0,0,1,1,-0.699209851,0.427416431
196,0,0,0,0,0,0,0,0,0,0,8,2,0.263130776,0.42533379,11,1,30,0,0,1,1,-0.699209851,0.0923947
197,1,4,0,0,0,0,1,3,1,7,6,7,0.8109593,1.265505942,8,1,25,0,0,1,1,0.520334632,-1.150340913
198,1,10,1,1,1,5,1,3,1,19,19,15,-1.115380249,-0.379083064,5,1,15,1,4,1,1,1.664465257,1.238322356
199,0,0,0,0,0,0,0,0,0,0,14,2,0.846316047,0.496844387,14,1,5,0,0,1,2,-0.96015976,0.568278894
